time; hr
158238272126976; 0.000000
158248623669248; 103.000000
158252532760576; 101.000000
158252532760576; 101.000000
158254629912576; 102.000000
158256559292416; 100.000000
158256559292416; 100.000000
158258539003904; 99.000000
158260552269824; 98.000000
158262565535744; 101.000000
158262565535744; 101.000000
158264545247232; 100.000000
158266575290368; 99.000000
158272564756480; 100.000000
158274561245184; 101.000000
158278570999808; 100.000000
158278570999808; 100.000000
158282580754432; 101.000000
158292596752384; 102.000000
