time;heart_rate
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
1410000000000;160
