;x_mean;y_mean;z_mean;x_min;y_min;z_min;x_max;y_max;z_max;x_std;y_std;z_std;x_med;y_med;z_med;activity;sma;smv;tilt;x_psd;y_psd;z_psd
27;0.8978606923076919;-6.9143831346153855;-6.882172076923077;-6.608975999999999;-11.303694;-18.608982;10.080962;-4.740181;1.239482;4.675337422677126;1.7587011479298702;6.153522751259584;-0.11365900000000001;-6.13759;-7.2873415;side_swing;17.520799673076926;598.5594283605957;1.540849405887503;1156.71777959529;2643.796610991414;4394.10116457548
88;-1.6218275192307696;-7.977716692307693;2.701220730769231;-8.992227999999999;-16.491332999999997;-7.707282000000001;3.706482;-3.737589;11.093125;3.769527716706085;3.543498929992537;5.005987981050601;-1.6953145;-6.7788664999999995;2.8175485;side_swing;15.931413096153843;525.3888754789008;1.5982349184215314;861.4531736687653;3949.861726391459;1657.4785576771237
37;-2.968388557692308;-7.272064134615386;-3.060512134615384;-21.614367;-14.802001;-18.156738;4.1252260000000005;0.081356;2.7589240000000004;7.778563186617614;4.579187089899101;4.943891765597731;1.1952150000000001;-6.9954165;-0.3864405;side_swing;16.43694294230769;572.1622912475656;1.4904208589637504;3543.9975003891486;3819.328347073117;1733.6155506458551
72;-1.6019244117647065;-7.95721445098039;-5.933496352941179;-12.220145;-13.804193;-15.902698999999998;6.149554;-0.354138;3.9050870000000004;6.04394532753502;3.917567658328072;5.727337131879885;0.0335;-8.846264999999999;-5.663811;side_swing;19.178802117647056;613.4411132145389;1.588027054596236;1957.338008983012;3996.5471706423555;3435.6448585991843
46;1.3696148846153844;-5.9798018653846166;2.463963115384615;-5.905486;-12.789636999999999;-13.519448;10.602597;-1.0743770000000001;14.751752;5.794406990965111;3.786170612982722;7.532232761502642;-0.5802594999999999;-5.636294;2.629712;side_swing;17.558578442307688;543.3234347077293;1.6683052787909083;1809.876707696534;2590.507061602693;3209.1589892128836
45;-0.1320192692307691;-5.067584192307693;-8.581352173076922;-5.905486;-10.365707;-21.956541;9.233903;-1.0743770000000001;2.677568;4.485179245402872;2.2843156125878643;6.805173480744627;-1.239482;-5.632704500000001;-9.260223499999999;side_swing;18.032173326923076;599.0860211243426;1.7759477873638414;1026.8647885803339;1601.5042851121405;6191.089157409874
6;-3.1873777884615397;-6.090745942307692;-6.710763115384613;-16.510476999999998;-15.503098000000001;-22.327429000000002;7.264609;1.18684;3.929015;8.041157002725832;4.386404904357243;7.127045630367539;0.7202394999999999;-6.608975999999999;-7.745566999999999;side_swing;20.714159423076925;666.0122576683219;1.5024664191387176;3825.958115718476;2910.3216261877888;4932.319513006336
91;3.59915705882353;-1.361938323529412;1.3627827647058828;-5.0057849999999995;-9.092725999999999;-23.389841;15.589239000000001;12.117253999999999;24.495325;6.437978164844447;5.020389694614369;13.523621707636034;1.5433705;-2.079363;2.7565315000000004;side_swing;20.399164735294118;450.7166879682384;1.4706515570547587;1808.203246242152;894.8081025324109;6098.45936837957
92;-4.708154596153848;0.8231769230769221;5.021660384615384;-21.841684;-6.647261;-3.7950169999999996;6.132804;13.842479;12.954741;9.296646552337467;6.770362202630936;4.39226025009934;-2.1702905;-2.0494525;5.4699925;side_swing;19.382875865384616;631.0225757290477;1.7340660099119019;5560.478917540296;2372.9642749231853;2295.1772522923443
74;1.6495826938775509;-4.864608428571428;0.07422640816326591;-4.443471;-9.609575;-20.858234;13.773088000000001;0.36131599999999997;21.607189;5.884266745592005;3.020267571838483;12.049741329266293;-0.909273;-4.139583;1.031307;side_swing;19.031485693877553;609.8152555784042;1.6822046586427293;1795.315596530512;1597.413120867039;6969.690741330726
