;time;x;y;z;activity
2914;1970-01-02 00:01:39.571310592;6.2261239999999995;-7.41775;-5.996414;forward_180
1001;1970-01-02 00:00:00.753508352;-10.51167;-2.979064;-5.12064;forward_180
275;1970-01-02 00:00:48.602128384;-9.657433000000001;-4.405187000000001;-4.551149;forward_180
533;1970-01-01 23:59:51.702200320;-7.645067999999999;-14.108082999999999;-7.948957000000001;forward_180
1689;1970-01-01 23:55:26.479581184;-2.321038;-2.383251;3.510271;forward_180
1395;1970-01-01 23:55:20.808882176;5.766703;-7.960921000000001;-3.699304;forward_180
1884;1970-01-01 23:53:19.861932032;3.3810580000000003;-7.939385000000001;-4.017549;forward_180
1119;1970-01-01 23:55:15.440173056;11.337193;-3.938586;4.847859;forward_180
1337;1970-01-02 00:00:07.237902336;-4.828716;-4.869394000000001;-0.59342;forward_180
134;1970-01-02 00:00:45.875830784;0.32063800000000003;-10.712667;4.259224;forward_180
1798;1970-01-02 00:00:16.129826816;-7.774280999999999;-6.032306;-15.725631;forward_180
264;1970-01-01 23:52:48.513703936;-1.85683;0.021535;1.148555;forward_180
1329;1970-01-02 00:00:07.078518784;0.088534;-13.646268;2.201397;forward_180
2274;1970-01-02 00:01:27.223279616;-14.074582999999999;-11.667403;-13.612767999999999;forward_180
388;1970-01-01 23:52:50.929623040;15.345172;-23.188845;5.230711;forward_180
181;1970-01-01 23:59:44.907427840;-3.790231;-7.846066;-3.491128;forward_180
2601;1970-01-02 00:01:33.531512832;-6.273981;2.333002;-34.523643;forward_180
2619;1970-01-01 23:53:34.047068160;-0.253639;-5.6662040000000005;-1.629512;forward_180
322;1970-01-01 23:52:49.629388800;18.920048;7.255038000000001;1.596013;forward_180
2846;1970-01-02 00:01:38.254299136;-4.989034999999999;-4.29751;-16.484156;forward_180
1167;1970-01-01 23:55:16.362919936;1.7036900000000001;-18.960726;0.72024;forward_180
1335;1970-01-02 00:00:07.195959296;-7.211967;-11.765509;4.1419760000000005;forward_180
2029;1970-01-01 23:55:33.031084032;6.266801999999999;-7.092326;-3.3164519999999995;forward_180
637;1970-01-01 23:55:06.137206784;8.377272;-5.718846;-4.8813580000000005;forward_180
1362;1970-01-01 23:55:20.121016320;-1.134198;-12.442677;-4.307081;forward_180
3131;1970-01-01 23:53:43.962402816;21.992434;-31.649864;-10.609776;forward_180
1521;1970-01-01 23:55:23.233189888;3.1250259999999996;-7.91785;2.400001;forward_180
2829;1970-01-01 23:53:38.115543040;6.644867999999999;-11.507083999999999;-7.001399;forward_180
1263;1970-01-02 00:00:05.803450368;-8.358130000000001;-6.2548379999999995;-5.76431;forward_180
1704;1970-01-01 23:55:26.764793856;0.878166;-2.213361;3.3212379999999997;forward_180
1577;1970-01-02 00:01:13.776340992;-8.915657000000001;-3.6299120000000005;-5.438886;forward_180
1098;1970-01-02 00:00:02.624167936;-5.395815;-8.736196000000001;2.478964;forward_180
1387;1970-01-02 00:01:10.093742080;-6.407979;-4.127619;-4.7306099999999995;forward_180
909;1970-01-01 23:55:11.388475392;7.032506;-5.261817;0.801596;forward_180
694;1970-01-02 00:00:56.722300928;-21.250657999999998;-10.411171000000001;-11.179267;forward_180
519;1970-01-01 23:55:03.863894016;2.782853;-11.279766;-0.251246;forward_180
3051;1970-01-01 23:53:42.393733120;8.202596;-11.026127;-3.716053;forward_180
288;1970-01-02 00:00:48.845398016;-12.713067;-1.395016;-28.436303999999996;forward_180
1193;1970-01-01 23:55:16.866236416;2.538785;-7.8173509999999995;-9.233903;forward_180
2214;1970-01-02 00:00:24.157724672;-1.124627;-9.946963;-4.074977;forward_180
1771;1970-01-01 23:55:28.056639488;-8.059027;8.4682;3.981657;forward_180
2501;1970-01-01 23:53:31.765366784;-6.508478;-5.142176;-2.691926;forward_180
1831;1970-01-01 23:55:29.214267392;4.989034999999999;-19.479969;-18.24288;forward_180
256;1970-01-02 00:00:48.233029632;-3.615555;-1.411765;-6.503692;forward_180
2879;1970-01-01 23:53:39.080232960;10.021141;5.000999;1.926222;forward_180
3113;1970-01-01 23:53:43.610081280;3.684947;-6.678367999999999;3.5676980000000005;forward_180
1097;1970-01-01 23:55:15.012354048;2.842673;0.701097;-1.306481;forward_180
1363;1970-01-01 23:53:09.753659392;8.458628;0.114855;2.225325;forward_180
1990;1970-01-01 23:55:32.284497920;1.098306;-7.2574309999999995;0.947558;forward_180
1099;1970-01-02 00:01:04.532094976;-19.128223000000002;-14.206188000000001;-8.578269;forward_180
317;1970-01-01 23:54:59.963191296;-3.5341989999999996;-19.841286;-12.177074000000001;forward_180
1420;1970-01-02 00:00:08.831737856;-10.832308;-4.287938;-17.64946;forward_180
2169;1970-01-02 00:00:23.285309440;-9.363114999999999;-0.92363;-19.16651;forward_180
2579;1970-01-01 23:53:33.275316224;-0.098106;-4.788037999999999;-5.584848;forward_180
1415;1970-01-01 23:53:10.760292352;-22.947167999999998;-6.063413;-4.185047;forward_180
192;1970-01-01 23:59:45.125531648;-2.6632119999999997;-12.404392;-0.547956;forward_180
581;1970-01-01 23:55:05.055076352;22.585854;-0.425922;-12.550355;forward_180
2266;1970-01-02 00:00:25.155969024;-7.022933999999999;4.639683;-0.004786;forward_180
2555;1970-01-02 00:01:32.642320384;-1.0289139999999999;-7.743174000000001;-8.465807;forward_180
1979;1970-01-01 23:53:21.699037184;-3.268596;-4.8646080000000005;-2.0267209999999998;forward_180
1649;1970-01-02 00:01:15.160461312;-4.893322;-12.165111;-6.778867;forward_180
2667;1970-01-01 23:55:45.404280832;-5.168497;-13.708480999999999;3.8572300000000004;forward_180
696;1970-01-01 23:55:07.278057472;-6.7190460000000005;-10.336994;-7.24786;forward_180
2157;1970-01-02 00:00:23.050428416;-7.23111;-3.751946;-5.630311;forward_180
