;x_mean;y_mean;z_mean;x_min;y_min;z_min;x_max;y_max;z_max;x_std;y_std;z_std;x_med;y_med;z_med;activity;sma;smv;tilt;x_psd;y_psd;z_psd
17;-4.191719057692307;-6.674088557692306;-6.829668115384615;-21.011375;-22.971098;-15.737595;6.45105;3.495914;3.6562330000000003;7.295059991229804;6.343660980767011;5.071918676150521;-2.398805;-7.097111999999999;-7.795816499999999;jump_fast;20.845534730769234;675.0696275496351;1.7586648831264797;3627.779364306017;4368.603586532007;3737.449373379372
31;4.772714826923076;-7.020725615384615;-5.3754300576923075;-5.458028;-32.566315;-16.134804000000003;33.315269;10.502099000000001;5.3910290000000005;7.246860620126637;9.67771563299199;5.063977676801506;4.2221355;-6.8362945;-6.356533499999999;jump_fast;21.78434938461538;768.4845380467727;1.246063205807206;3862.8643858194855;7339.6777581848555;2810.390277335723
9;-6.0500680192307685;-8.317819673076924;-8.02354846153846;-29.218758;-22.167109;-16.481762;13.220345000000002;5.690132;4.957929;11.05464821628958;8.78210968394558;5.205344874654337;-2.3605194999999997;-9.01137;-8.598608;jump_fast;27.81909415384616;901.3409361562731;1.7319997909291494;8135.840404422217;7531.076429462312;4729.497534030722
35;8.135550098039218;-8.323504078431375;-5.344158196078432;-5.192425;-28.692337;-23.129025;47.954559;8.453842;7.850851;10.873090058816366;7.156631539107509;5.393390549527987;5.544169999999999;-7.999206;-5.491528;jump_fast;24.292780137254905;807.9988020287917;1.1122159888440926;9286.750316639567;6094.185476654264;2910.9944490472176
79;-5.4388858627450976;-5.015590862745098;-7.057231549019608;-31.219155999999998;-23.746372;-31.960932;23.832514;10.738988;9.875179;11.665536485356279;7.877842926478038;9.276025962416103;-5.242674;-2.892923;-4.213761;jump_fast;25.714398117647058;856.1801818045807;1.9812849534764638;8312.892525385321;4385.984195538061;6842.263256731242
0;-7.359770230769232;-10.26516319230769;-7.47559203846154;-30.87459;-24.540789;-18.312271;10.707881;2.6177479999999997;-1.727618;11.222549690357537;6.263844924189437;3.7964302030385912;-5.243871;-11.243874;-7.4249285;jump_fast;28.119715461538462;948.5799462784685;1.9172924671510978;9239.870027365028;7480.4493339138335;3641.0497655402223
20;6.175875173076922;-5.965904980769232;-5.208162576923078;-16.481762;-35.112278;-36.667614;32.018359999999994;9.166903;11.050055;12.236671582650851;12.093878327772849;11.026124837054464;4.0821555;-1.9190435;-4.662415;jump_fast;30.515160923076937;1046.4813708190022;1.2416084036617303;9619.897278482651;9310.141699813152;7610.844661276202
29;-6.4215997115384615;-7.187210942307692;-4.348633057692307;-45.320060999999995;-30.793234;-21.470798000000002;13.337593;35.263027;22.102503;13.577681767521037;14.256860169499104;7.830039662911776;-3.479164;-8.452646;-4.6612185;jump_fast;30.02269978846153;1024.438948927754;1.8168652595050943;11546.34657965574;13052.273215244979;4110.137269724977
71;4.04233884;-7.291935680000002;-8.252941060000003;-16.883757;-24.715466;-37.105499;30.084959;6.599405;4.725825;12.181914445106885;9.166704706030314;9.569551498023332;2.5471595000000002;-4.3956155;-6.6412795;jump_fast;27.877293179999995;912.5747707278266;1.2550908133897365;8088.578102715914;6776.011581273212;7892.791284784404
2;5.955266313725488;-7.463120019607844;-5.705380686274509;-5.326423;-23.578875;-12.174682;45.604805;2.160719;7.10429;9.128919246228689;6.406548471783197;4.138171508841606;4.929214;-6.266801999999999;-6.726224;jump_fast;21.265671725490197;699.0928006033544;1.202397420558321;5975.5833704453;4892.799347846022;2516.342979370445
