;time;x;y;z;activity
941;1970-01-01 04:19:19.703437312;24.622145;-20.583060999999997;8.32463;backward_180
996;1970-01-01 09:53:26.677200896;0.8494520000000001;-5.84088;-2.828316;backward_180
671;1970-01-01 09:51:24.771852288;2.469393;-5.058427;4.855037;backward_180
164;1970-01-01 09:51:08.919480320;-15.902698999999998;-12.748959;5.010571;backward_180
911;1970-01-01 09:51:33.063991296;37.361534000000006;-19.020548;-11.097911999999999;backward_180
254;1970-01-01 04:18:46.315728896;0.23449699999999998;-8.193025;-0.638884;backward_180
1026;1970-01-01 09:51:56.642271232;-5.860023;-1.3854440000000001;-1.0289139999999999;backward_180
629;1970-01-01 04:19:00.004888576;2.775674;0.23928200000000002;-1.488336;backward_180
33;1970-01-01 09:51:04.773410816;8.12124;-1.67019;-2.313859;backward_180
844;1970-01-01 09:53:21.721630720;-13.438092000000001;-6.960721;-23.356342;backward_180
116;1970-01-01 09:52:57.279324160;-4.321438;-1.67019;-4.37408;backward_180
74;1970-01-01 09:51:05.561939968;-7.202396;-3.6251260000000003;-2.854637;backward_180
713;1970-01-01 09:51:27.414263808;10.372886;-6.427122;-15.117853;backward_180
419;1970-01-01 09:59:46.605645824;-1.2131610000000002;-5.814559;4.766503;backward_180
878;1970-01-01 10:00:02.877448192;1.158126;-2.533999;-10.200603;backward_180
25;1970-01-01 04:18:40.423780352;-12.641282;-8.9348;8.439486;backward_180
663;1970-01-01 04:19:08.486819840;1.380659;4.070191;-7.204789;backward_180
20;1970-01-01 09:51:04.521752576;-5.556133999999999;-2.998207;-2.488536;backward_180
516;1970-01-01 04:18:57.825947648;6.084948000000001;1.265803;-2.524428;backward_180
599;1970-01-01 09:59:53.622716416;1.9070799999999999;-4.905286;-4.063013;backward_180
999;1970-01-01 04:19:38.224435200;10.021141;-5.228317;-33.066418;backward_180
1058;1970-01-01 04:19:39.369480192;1.06002;-21.72683;-2.533999;backward_180
585;1970-01-01 04:18:59.216359424;7.903492999999999;-2.213361;-13.576876;backward_180
181;1970-01-01 09:53:00.242599936;-3.35713;3.8763730000000005;-1.753939;backward_180
793;1970-01-01 09:53:18.808686592;-8.748159;-9.79143;-14.206188000000001;backward_180
753;1970-01-01 09:59:58.616035328;-13.808979;-17.85285;-15.503098000000001;backward_180
667;1970-01-01 04:19:08.594823168;0.698704;-3.589234;-1.15334;backward_180
1017;1970-01-01 09:53:27.081951232;-6.441479;-1.6055840000000001;-5.0943190000000005;backward_180
461;1970-01-01 09:51:18.098714624;14.605789000000001;-15.268601;-8.484949;backward_180
116;1970-01-01 04:18:41.906466816;14.947963;-14.830715;-11.088339999999999;backward_180
389;1970-01-01 09:51:14.877489152;0.655633;-9.853643;-3.6251260000000003;backward_180
443;1970-01-01 04:18:52.686876672;7.070791000000001;-27.902703999999996;-13.586447;backward_180
576;1970-01-01 09:59:53.178120192;-29.673393;-10.200603;-18.05624;backward_180
183;1970-01-01 09:51:09.284384768;16.359728;-11.241481;-0.162712;backward_180
500;1970-01-01 09:59:49.996740608;2.163112;-9.415757000000001;-0.48095699999999997;backward_180
902;1970-01-01 04:19:18.956851200;30.97509;-13.323235999999998;-11.243874;backward_180
520;1970-01-01 09:51:19.235371008;-1.818545;-8.279166;-0.009571;backward_180
10;1970-01-01 09:59:35.872421888;-8.070991000000001;-14.163117000000002;5.587241000000001;backward_180
1024;1970-01-01 09:53:27.220363264;-6.869794000000001;-10.08814;4.149155;backward_180
