;time;x;y;z;activity
2228;1970-01-02 00:02:48.039129088;-6.017949;-1.3854440000000001;-16.280766;backward_180
503;1970-01-01 23:56:13.690667008;28.689943;-4.728218;1.421337;backward_180
2397;1970-01-01 23:58:42.898837504;2.012364;-0.23928200000000002;-3.510271;backward_180
2350;1970-01-02 00:02:50.387939328;-15.546168;-2.0338990000000003;-3.3355949999999996;backward_180
2754;1970-01-01 23:58:49.819439104;16.998611;-22.262821;5.9748779999999995;backward_180
127;1970-01-02 00:02:07.480209408;14.266008;-4.768896;-8.348558;backward_180
1529;1970-01-02 00:02:34.550247424;-8.662018;-12.485748;-11.217552;backward_180
2324;1970-01-01 23:57:03.368003584;2.95035;-8.10449;3.1274189999999997;backward_180
921;1970-01-02 00:02:22.814584832;-1.641476;10.741381;-1.68694;backward_180
1302;1970-01-01 23:58:21.667270656;9.29133;-11.251052;-8.099705;backward_180
2382;1970-01-01 23:58:42.605236224;4.910072;-10.698310000000001;-2.957529;backward_180
883;1970-01-02 00:03:26.987436032;5.855237000000001;1.639084;-8.006385;backward_180
1939;1970-01-01 23:56:41.398239232;46.1408;-12.363714;-5.965307;backward_180
805;1970-01-01 23:57:54.530123776;7.975278;-11.535798;-4.89093;backward_180
1740;1970-01-01 23:56:37.556256768;-1.526621;5.139783;-5.288138;backward_180
274;1970-01-01 23:57:44.287633408;20.446669;-15.799807999999999;-3.3643089999999995;backward_180
1364;1970-01-02 00:03:36.365899776;2.895315;-9.099903999999999;-2.378466;backward_180
3046;1970-01-01 23:57:17.301481472;5.769095;-10.470991999999999;5.032106;backward_180
1743;1970-01-02 00:03:43.697543168;0.739382;-6.6352970000000004;1.15334;backward_180
162;1970-01-01 23:57:42.123372544;0.662812;-1.261018;1.6773689999999999;backward_180
1515;1970-01-01 23:58:25.861574656;5.185246;-9.355936999999999;-0.445065;backward_180
3722;1970-01-01 23:59:08.517646336;-3.5509489999999997;-10.674382000000001;-9.21476;backward_180
1520;1970-01-01 23:56:33.311621120;8.865408;-5.704489;-0.117248;backward_180
673;1970-01-02 00:02:18.016301056;-6.73101;-2.0171490000000003;-7.611569;backward_180
1044;1970-01-02 00:02:25.188560896;-8.298309;-5.314458999999999;-4.749753;backward_180
2666;1970-01-01 23:57:09.969838080;3.058027;-7.594819;-6.9487570000000005;backward_180
943;1970-01-01 23:57:57.197701120;5.345566000000001;-10.430314;0.212961;backward_180
3176;1970-01-01 23:57:19.809675264;-14.024334;-19.9035;-4.821537;backward_180
967;1970-01-02 00:02:23.703777280;-9.726824;-0.492921;-3.038885;backward_180
2187;1970-01-01 23:58:38.847139840;0.342174;-24.772892000000002;7.097111999999999;backward_180
1080;1970-01-01 23:56:24.822349824;0.425922;-8.788837;-11.009377;backward_180
94;1970-01-02 00:03:11.745335296;-27.022146000000003;-5.7451669999999995;-11.353944;backward_180
226;1970-01-01 23:56:08.347123712;5.965307;-10.973485;4.610969;backward_180
2483;1970-01-02 00:03:57.991731200;-8.444271;-1.964507;-2.143969;backward_180
1684;1970-01-01 23:58:29.116354560;4.855037;-7.645067999999999;0.830309;backward_180
3075;1970-01-01 23:57:17.855129600;1.808974;-9.320045;-3.007778;backward_180
1293;1970-01-02 00:03:34.990168064;-16.182659;-0.885344;-4.192225;backward_180
24;1970-01-02 00:02:05.492109312;-1.3591229999999999;-10.023534;-4.070191;backward_180
2417;1970-01-02 00:03:56.725051392;-7.927422;-8.451449;-0.8159529999999999;backward_180
1236;1970-01-02 00:02:28.896325632;-5.802594999999999;-6.381658;-4.192225;backward_180
2691;1970-01-02 00:04:02.018263040;-16.881363;-6.903293;-5.4029940000000005;backward_180
3057;1970-01-01 23:57:17.519585280;9.004191;-10.016356;-1.287339;backward_180
2353;1970-01-01 23:57:03.930040320;5.647061;-7.118647999999999;-2.553142;backward_180
470;1970-01-02 00:03:19.001481216;7.747960000000001;-24.246471;-10.509277;backward_180
1180;1970-01-02 00:03:32.733632512;4.965107;-18.867407;-3.5964120000000004;backward_180
2425;1970-01-01 23:57:05.314160640;14.160725;-8.681161;-0.650848;backward_180
2304;1970-01-02 00:03:54.544013312;-18.585054;-10.317851;-7.5493559999999995;backward_180
1447;1970-01-02 00:02:32.964800512;2.974278;-7.771888000000001;-7.678567999999999;backward_180
1960;1970-01-01 23:56:41.800892416;-11.985648;-13.813766000000001;-10.13839;backward_180
1727;1970-01-01 23:58:29.946826752;5.237889;-9.652647;-7.271788000000001;backward_180
1752;1970-01-02 00:02:38.853603328;-9.391829;-4.017549;-3.012564;backward_180
666;1970-01-01 23:57:51.854157824;-2.598605;-27.632316999999997;1.40698;backward_180
277;1970-01-01 23:56:09.328590848;13.311273000000002;-11.050055;-1.76351;backward_180
149;1970-01-02 00:02:07.899639808;-18.142382;-17.900705;-5.45085;backward_180
1662;1970-01-01 23:56:36.046307328;1.7036900000000001;-4.278367;3.06042;backward_180
2927;1970-01-01 23:57:15.003002880;10.681561;-1.158126;-0.09332;backward_180
1821;1970-01-02 00:03:45.199104000;12.378072;-17.321644;-3.960121;backward_180
1255;1970-01-01 23:58:03.229110272;-6.269196;-13.316057999999998;-10.822737;backward_180
2225;1970-01-02 00:02:47.980408832;-13.531412;-10.942378;-8.214561;backward_180
2704;1970-01-01 23:58:48.871526400;-6.965507000000001;-12.244074000000001;-9.049655;backward_180
544;1970-01-01 23:57:49.496958976;41.912682000000004;-18.556339;-1.9118650000000001;backward_180
981;1970-01-01 23:57:57.927510016;7.678567999999999;-5.290531;-2.2707889999999997;backward_180
2496;1970-01-02 00:02:53.206511616;-9.872786999999999;1.875973;-1.8999009999999998;backward_180
3013;1970-01-02 00:04:08.225832960;-2.3856439999999997;-10.291530999999999;-7.843673;backward_180
