;x_mean;y_mean;z_mean;x_min;y_min;z_min;x_max;y_max;z_max;x_std;y_std;z_std;x_med;y_med;z_med;activity;sma;smv;tilt;x_psd;y_psd;z_psd
24;-2.3676520000000005;-5.490055461538462;-6.887463923076924;-34.035511;-14.976676999999999;-35.169708;10.844273;3.3786660000000004;3.716053;9.60343052811973;5.354372812924973;8.101917553761615;-0.7668995000000001;-5.054838;-4.514060000000001;jump_slow;20.131783423076925;684.5828458528034;1.7427262783600705;4995.020124970929;3029.451585689246;5814.426753613158
68;-3.7977316730769215;-6.885301134615384;-6.522282230769231;-25.380671;-17.934206;-25.306492000000002;10.559526;0.01675;3.4121650000000003;6.670875840054193;4.968733321814652;7.495967117122521;-3.3379879999999997;-5.889932999999999;-5.4951175;jump_slow;19.66476853846154;637.1126834714096;1.6846144562285696;3019.5136329003203;3724.287181134341;5077.754279956109
52;-2.842391823529412;-5.999275568627449;-6.745038411764706;-32.128429;-20.872591;-35.248669;11.672189;5.592027;0.775275;9.807682367750315;7.424774128991032;7.859082344546883;-0.62692;-4.627719;-3.3355949999999996;jump_slow;21.227949372549016;726.0161071708477;1.8120820792077796;5221.570426535829;4591.920218091568;5408.531466903675
83;4.737944847826086;-9.982595869565214;-2.6887523478260866;-7.350751;-22.411177;-29.455646999999995;29.410183;0.22253299999999998;4.914858000000001;8.869543941889072;7.8832624076331665;6.954586409538433;2.5447670000000002;-8.249256;0.06939200000000001;jump_slow;20.829781108695652;672.5979000162176;1.3465526217827357;4572.710021697473;7380.564312014887;2509.034148393404
32;3.9418533076923086;-9.45431846153846;-3.773849403846154;-15.069997;-26.136803;-15.627524;30.058638000000002;3.055634;5.213961;8.04023593195529;7.025978461632564;5.173826546287741;1.902294;-8.703892;-3.9194440000000004;jump_slow;20.543440865384607;698.2659294576281;1.3296218180366601;4104.90187588372;7165.558194263281;2105.7733824759766
17;4.953004826923077;-10.116302000000001;-2.3761649615384615;-26.541189000000003;-24.19383;-10.231709;41.467617;3.0652060000000003;5.948557;10.60132808470991;7.353680556962319;3.723042112195301;2.6309085;-10.124032499999998;-2.1690940000000003;jump_slow;21.51142971153846;744.6191832773485;1.4016340871030262;7007.473369549827;8079.564944496737;1000.513487099202
74;-6.549017557692308;-8.017060192307692;-5.531883865384616;-61.497935999999996;-19.747965;-20.453848;27.421746999999996;2.208575;4.067799;13.579908285143155;5.914898137342323;6.575765840620916;-3.8380875000000003;-7.922636;-5.871987;jump_slow;24.44194700000001;803.995320393759;1.8296424871312245;11635.370171167922;5126.496233340322;3796.5659491298607
55;-7.4024460625;-9.464211812499997;-7.380711270833337;-40.177883;-22.183858999999998;-23.648266;16.704294;0.215354;4.622933;11.826885524443508;5.491270279571078;6.802759146820773;-3.5258244999999997;-9.671789;-7.060022999999999;jump_slow;26.930421229166665;814.1983969013228;1.8446815828108951;9204.353366784335;5716.662967444628;4789.8391498972205
54;3.5763035;-8.23397884615385;-3.137312634615384;-25.10071;-38.081771999999994;-31.283764;34.363327000000005;3.022135;4.735396;11.065763537064809;7.884533711173464;6.90658573887707;0.9882355;-8.234899;-1.2466605;jump_slow;21.126599326923074;742.65868508029;1.3660180682606227;6910.084485223723;6695.97666119744;2944.569244491967
128;-4.4038059807692305;-7.900318115384617;-5.181519365384615;-40.508095000000004;-17.907885;-33.585659;17.955742;2.2564319999999998;3.895515;10.472810928892006;5.038030105401155;7.506514540941327;-1.9752755;-8.481359999999999;-2.6285155;jump_slow;21.48975619230769;741.054721041444;1.7916464478538794;6602.130576413772;4540.0504833516125;4269.839220782047
76;-4.764500571428572;-6.901144591836734;-4.275729918367346;-38.000415999999994;-22.954348;-16.728223999999997;15.488741000000001;0.464208;5.431707;9.490601500258443;5.526069764552816;6.629092713832333;-2.282753;-4.699504;-6.204589;jump_slow;20.266719326530616;623.6999281002259;1.802358953425218;5435.755627223993;3799.461495244265;3005.1652204183365
167;5.824314403846153;-11.22578942307692;-2.184140884615385;-20.831913;-35.643485999999996;-12.069397;45.339203000000005;1.344766;5.938986;11.623885963784346;9.217098600215857;4.768322101635419;2.201397;-8.903692500000002;-1.3435695;jump_slow;23.45693232692308;810.2684140759262;1.4364500949776078;8654.828160144387;10885.654341816975;1407.6461919123053
