;time;x;y;z;activity
886;1970-01-01 21:17:16.564791296;-0.052641999999999994;-12.976277;-10.207782;jump_slow
255;1970-01-01 21:17:04.376143872;2.658426;-11.763116;-0.23449699999999998;jump_slow
996;1970-01-02 01:00:29.992484864;10.317851;-15.127425;-5.319245;jump_slow
55;1970-01-02 00:59:35.978237952;2.364109;2.361716;1.069592;jump_slow
12;1970-01-01 21:16:59.686912000;-0.47617200000000004;-11.207981;-0.26321100000000003;jump_slow
1608;1970-01-02 01:00:41.853976576;1.519442;-1.1509479999999999;-3.5724839999999998;jump_slow
2597;1970-01-01 21:16:01.696464896;-9.829716000000001;-9.45165;-3.725625;jump_slow
1704;1970-01-01 11:40:04.234412032;6.0969120000000006;-10.169497;9.839286999999999;jump_slow
2064;1970-01-01 21:15:51.302979584;-0.12682000000000002;-19.941784;-1.5984049999999999;jump_slow
104;1970-01-02 00:59:37.018425344;2.361716;1.026521;-2.651248;jump_slow
273;1970-01-01 11:39:36.593948672;-1.509871;-8.906086;2.737389;jump_slow
591;1970-01-01 01:07:00.124590080;-4.074977;-7.362715;-6.546762999999999;jump_slow
279;1970-01-01 21:17:04.837517312;-5.9342;-16.098910999999998;-3.385844;jump_slow
536;1970-01-01 01:06:59.063595008;0.251246;-5.915058;-1.1270200000000001;jump_slow
693;1970-01-01 01:07:02.092406784;-2.849852;-7.518249000000001;-4.917251;jump_slow
2518;1970-01-01 21:16:00.136183808;-0.5024930000000001;-5.91745;-6.678367999999999;jump_slow
1679;1970-01-02 01:00:43.221319680;-3.696911;-6.065805;0.605384;jump_slow
586;1970-01-01 11:39:42.637940736;-3.220739;1.3519450000000002;-0.973879;jump_slow
1943;1970-01-02 01:01:24.795260928;-35.339596;7.786245;-12.311072;jump_slow
995;1970-01-02 01:00:29.975707648;10.650454;-14.325829999999998;-4.835895;jump_slow
32;1970-01-01 01:06:49.351782400;-0.086142;-3.371487;-1.107877;jump_slow
2587;1970-01-01 21:16:01.495138304;8.219346;-8.781659;3.089134;jump_slow
874;1970-01-01 01:07:05.584164864;-27.656244;-13.708480999999999;-4.761717;jump_slow
893;1970-01-01 21:17:16.699009024;10.045069999999999;3.56052;-1.3088739999999999;jump_slow
948;1970-01-02 01:00:29.027794944;7.219146;-17.453249;-6.7190460000000005;jump_slow
1065;1970-01-01 11:39:51.877992448;2.679961;-13.773088000000001;1.148555;jump_slow
1895;1970-01-02 01:01:23.872514048;-10.8682;4.7808589999999995;-14.828320999999999;jump_slow
249;1970-01-01 01:06:53.528915968;-2.85703;-8.889337;-6.865008;jump_slow
2039;1970-01-01 21:15:50.816440320;-13.940585;-21.54019;0.614955;jump_slow
1501;1970-01-01 11:40:00.316932096;6.228518;-12.689138;-6.709475;jump_slow
1334;1970-01-01 11:39:57.091512320;3.6418760000000003;-18.417557000000002;-6.740582000000001;jump_slow
484;1970-01-02 01:00:19.942932480;-0.41874399999999995;-6.534799;-10.128819;jump_slow
176;1970-01-02 00:59:38.519986176;-3.242275;-6.776474;-2.249253;jump_slow
688;1970-01-01 01:07:01.995675648;-0.366102;-5.871987;-8.640483;jump_slow
986;1970-01-02 01:00:29.833101312;-1.878366;-5.76431;-2.285146;jump_slow
1331;1970-01-02 01:00:36.510433280;-7.360322;-5.479564;-4.833501999999999;jump_slow
956;1970-01-02 01:00:29.187178496;1.457229;2.849852;-1.615155;jump_slow
1853;1970-01-01 21:17:35.221055488;-5.2354959999999995;-15.732809;-3.237489;jump_slow
678;1970-01-01 11:39:44.412131328;1.6821540000000001;-8.386844;5.065606;jump_slow
180;1970-01-01 01:06:52.204007424;-1.581656;0.031107;0.141177;jump_slow
224;1970-01-01 21:17:03.780552704;0.567099;-1.459622;-0.981057;jump_slow
2053;1970-01-02 01:01:26.917578752;-16.991433999999998;-7.133004;-4.350152;jump_slow
1156;1970-01-01 21:17:21.774116864;1.148555;-16.256838000000002;2.201397;jump_slow
1012;1970-01-02 01:00:30.336417792;4.122833;-14.512469;-4.955536;jump_slow
1513;1970-01-01 11:40:00.547618816;3.20399;-16.560726000000003;-11.894721;jump_slow
225;1970-01-02 00:59:39.459510272;-3.522235;-5.211568;-5.886343;jump_slow
340;1970-01-02 01:00:17.644453888;3.24706;1.509871;2.7661029999999998;jump_slow
610;1970-01-01 11:39:43.099314176;4.149155;-10.078569;-7.130611;jump_slow
530;1970-01-01 01:06:58.947923968;-29.66143;-17.383856;-15.936198999999998;jump_slow
550;1970-01-01 01:06:59.335995392;-5.812166;-13.301701999999999;-12.8686;jump_slow
1443;1970-01-02 01:00:38.666305536;4.721039;-12.928421;-11.205588;jump_slow
846;1970-01-01 01:07:05.044344832;-4.555934;-15.627524;-7.484749000000001;jump_slow
1425;1970-01-01 11:39:58.848925696;2.2564319999999998;-9.927821;1.9908279999999998;jump_slow
971;1970-01-01 21:17:18.208958464;1.311267;-14.622539999999999;1.567299;jump_slow
2178;1970-01-02 01:01:29.333497856;2.7780669999999996;0.366102;-1.361516;jump_slow
657;1970-01-01 01:07:01.398020096;-2.809174;-12.844672000000001;-4.441079;jump_slow
2306;1970-01-01 21:15:56.034154496;9.013762;-13.464413;-7.233503;jump_slow
585;1970-01-01 01:07:00.008689664;-0.835095;-15.000606;-5.663811;jump_slow
523;1970-01-01 01:06:58.813149184;-0.811167;-3.574877;-0.8135600000000001;jump_slow
1959;1970-01-01 21:15:49.272936448;-0.531207;-9.164511;2.579463;jump_slow
2019;1970-01-02 01:01:26.263267328;11.138589999999999;-8.99462;-2.0793630000000003;jump_slow
66;1970-01-01 01:06:49.999572992;-4.8813580000000005;-15.850057999999999;-9.394221;jump_slow
1831;1970-01-01 11:40:06.683885568;-0.349352;-3.294917;1.318445;jump_slow
2762;1970-01-01 21:16:04.842192896;-1.172483;-9.968499000000001;-0.11007;jump_slow
1510;1970-01-02 01:00:39.966539776;2.39043;-2.627319;-1.8592229999999998;jump_slow
881;1970-01-01 11:39:48.329611264;5.8672010000000006;-20.118853;-13.028919;jump_slow
1536;1970-01-01 11:40:00.988020736;40.646877;-20.554346;-0.655633;jump_slow
2041;1970-01-02 01:01:26.691086336;-16.46262;0.681954;-25.914268;jump_slow
