time,ac-x,ac-y,ac-z,gyr-x,gyr-y,gyr-z
2020-02-12 13:31:07.489,2.512695,-2.651367,0.360840,144.958496,61.553951,-66.833496
2020-02-12 13:31:07.492,2.679199,-2.896484,0.373535,148.010254,63.140865,-72.692871
2020-02-12 13:31:07.494,2.827637,-3.143311,0.381836,151.397705,67.260742,-74.676514
2020-02-12 13:31:07.497,2.967529,-3.398926,0.387695,158.599854,72.418213,-78.216553
2020-02-12 13:31:07.500,3.107666,-3.642090,0.386475,165.985092,74.035645,-80.993645
2020-02-12 13:31:07.502,3.233154,-3.848389,0.381592,165.527328,71.716309,-71.105957
2020-02-12 13:31:07.505,3.334229,-4.008789,0.381592,157.684326,68.664551,-45.013424
2020-02-12 13:31:07.507,3.446289,-4.145020,0.398193,146.820068,63.598629,-17.852783
2020-02-12 13:31:07.510,3.571045,-4.256348,0.445313,136.474609,56.976315,2.532959
2020-02-12 13:31:07.512,3.670410,-4.271729,0.473877,129.150391,61.096188,40.374752
2020-02-12 13:31:07.514,3.732910,-4.247803,0.480225,116.394035,65.826416,76.721191
2020-02-12 13:31:07.517,3.756592,-4.181396,0.473389,101.715080,71.105957,107.879631
2020-02-12 13:31:07.520,3.739746,-4.052490,0.445557,90.667717,79.437256,144.653320
2020-02-12 13:31:07.522,3.628906,-3.794434,0.397217,84.991447,89.416496,179.565414
2020-02-12 13:31:07.525,3.527832,-3.615234,0.310303,67.169189,106.231682,223.876938
2020-02-12 13:31:07.527,3.656006,-3.565918,0.319824,63.812252,78.216553,184.356674
2020-02-12 13:31:07.529,3.747559,-3.260986,0.270508,79.376221,80.200195,178.039536
2020-02-12 13:31:07.532,3.686035,-2.966064,0.201904,62.255856,99.884026,223.266586
2020-02-12 13:31:07.534,3.577637,-2.705566,0.127930,52.368160,104.736320,246.765121
2020-02-12 13:31:07.537,3.480225,-2.421875,0.040039,50.750729,101.562492,247.863754
2020-02-12 13:31:07.539,3.406006,-2.129639,-0.052490,48.889156,97.106926,247.955307
2020-02-12 13:31:07.542,3.362793,-1.851563,-0.143311,50.628658,93.292229,239.624008
2020-02-12 13:31:07.545,3.329102,-1.592285,-0.233643,56.732174,90.698235,226.776108
2020-02-12 13:31:07.547,3.286377,-1.347412,-0.321777,62.805172,86.029045,213.165268
2020-02-12 13:31:07.550,3.230957,-1.122559,-0.415283,66.650391,78.430176,194.580063
2020-02-12 13:31:07.552,3.157959,-0.920654,-0.520752,71.411133,67.077637,172.149643
2020-02-12 13:31:07.555,3.074707,-0.759033,-0.616699,75.958252,50.933834,144.561768
2020-02-12 13:31:07.557,3.001465,-0.638672,-0.681885,78.613281,31.982420,112.670891
2020-02-12 13:31:07.559,2.943359,-0.541504,-0.717285,80.444328,11.535644,83.099358
2020-02-12 13:31:07.562,2.892822,-0.470459,-0.731201,78.643799,-6.103515,58.715816
2020-02-12 13:31:07.565,2.841797,-0.429688,-0.735352,76.812744,-20.721434,36.682129
2020-02-12 13:31:07.567,2.792725,-0.417725,-0.730469,79.833984,-31.738279,12.664794
2020-02-12 13:31:07.569,2.748779,-0.416992,-0.716309,84.503166,-38.940430,-11.474608
2020-02-12 13:31:07.572,2.695557,-0.422363,-0.688965,89.263908,-44.342037,-31.768797
2020-02-12 13:31:07.574,2.624023,-0.432861,-0.656250,90.270988,-49.560543,-45.959469
2020-02-12 13:31:07.577,2.536377,-0.447266,-0.613770,89.202873,-57.525631,-57.800289
