;x_mean;y_mean;z_mean;x_min;y_min;z_min;x_max;y_max;z_max;x_std;y_std;z_std;x_med;y_med;z_med;activity;sma;smv;tilt;x_psd;y_psd;z_psd
0;-7.2283950576923095;-9.66792378846154;-3.9187070961538457;-33.757942;-34.614571000000005;-24.646072;7.200003;2.9647069999999998;19.188046;8.437594115311446;7.520184166300352;10.643428850168819;-6.2548385;-8.2827555;-4.2017965;jump_fast;27.89078659615384;966.7827238951885;1.97389459805489;6347.826862915325;7744.586684382827;6575.937258002123
1;-7.250712653846152;-9.278998134615383;-3.926529826923077;-33.757942;-20.800808;-24.646072;8.568698;1.76351;19.188046;8.153235117162527;5.7581765098387585;11.60497225609305;-6.390033;-8.519645;-4.2664025;jump_fast;28.165639230769234;967.5166984419983;1.9769724679302174;6124.024754071871;6168.176364515586;7670.161531348423
2;-7.214222096153845;-9.482203942307692;-3.9542774423076925;-24.504896;-25.277779000000002;-23.32045;8.568698;-0.648455;17.680567;7.438783005926577;5.817603271741348;11.546012444610238;-6.205785499999999;-8.786445;-2.9718855;jump_fast;27.974581442307684;958.5223968665435;1.9965500471880684;5528.450146609353;6401.503862578966;7611.9186966444795
3;-6.844761192307691;-9.55674948076923;-3.4285006346153852;-23.229523;-25.277779000000002;-26.388047999999998;6.173482;3.2566319999999997;16.041483;7.076625072969439;6.437485820253202;11.330218939077623;-5.270192;-8.397610499999999;-1.2011965;jump_fast;26.97553192307691;929.2258133398501;1.988400123177142;4990.249044137879;6862.738361169527;7158.306984860119
4;-5.98431146153846;-9.608149192307692;-3.026598480769231;-23.229523;-23.633909;-26.388047999999998;4.886144;3.2566319999999997;16.151552;6.873370272845712;6.160492743513034;10.4684002213743;-4.944768;-8.9276215;-0.8315060000000001;jump_fast;25.556128211538464;877.9316150535119;1.928549523217345;4271.627315062025;6735.994819872146;6065.293077855663
5;-6.3711663653846164;-9.577594730769231;-2.740334211538461;-34.935210999999995;-23.633909;-22.887348;4.785645;-0.9403790000000001;19.077973999999998;8.254258721809515;5.247787240155122;10.708820937874886;-4.6109694999999995;-8.809177;-3.6741795;jump_fast;26.430980961538452;899.0478983075756;1.9138936413500085;5585.543703856219;6174.479499811323;6239.111582581106
6;-7.348726365384613;-9.362746865384613;-2.6570915384615366;-34.935210999999995;-25.227529999999998;-24.215364;4.785645;0.947558;19.077973999999998;9.536265179817647;5.676879566064838;11.88711841612228;-5.2163535;-8.739785000000001;-3.172883;jump_fast;28.31836561538462;967.6039638601886;1.946294947117459;7446.154550621475;6201.9485429818415;7573.609839260312
7;-7.636509365384617;-9.001200634615383;-3.6216750769230766;-31.633115999999998;-25.227529999999998;-24.595823;4.835895;6.604189999999999;18.111275;8.913030459441691;6.223835861041484;11.962952644102131;-6.6556365;-8.7493555;-4.072584;jump_fast;28.706693230769215;981.4203534536947;1.982979284691867;7083.9940254732655;6188.666643043705;7980.78361308244
8;-7.479043326923077;-8.514997519230771;-4.49606773076923;-25.658237;-23.117060000000002;-24.595823;8.006385;6.604189999999999;18.111275;8.624545024414568;5.904529686643078;11.9030583531228;-7.143772;-8.7828555;-6.784848500000001;jump_fast;28.82302134615384;983.5900361596268;1.9685492993537415;6702.198253257475;5548.306514973241;8276.983208112719
9;-7.315871250000001;-8.372808653846153;-4.988436980769231;-27.335606;-20.317457;-27.349961999999998;8.006385;13.466804999999999;16.926826000000002;9.276490497953517;6.571156269145315;12.246420225923279;-5.4580285;-9.6263255;-6.991828;jump_fast;29.570134076923082;1021.273437466432;1.942183131287691;7171.859625511695;5847.588917593813;8942.709408422555
